id,rua,terreno,casa_new,vertex_pos,vertex_ind,vertex_par,vertex_p_1,vertex_p_2,distance,angle,ponto,x_dms,y_dms,x,y
"28",rua Kokama,"24",24,"1","1","0","0","1",0.000076424078715,23.616464867908256,"1","59°54′52,5″W","3°4′5,3″S",-59.9145949284673,-3.068148299237
"28",rua Kokama,"24",24,"2","2","0","0","2",0.000266562069704,114.539600424624794,"2","59°54′51,9″W","3°4′5,1″S",-59.9144158019271,-3.06808453295879
"28",rua Kokama,"24",24,"3","3","0","0","3",0.000338500416678,203.872238542568908,"3","59°54′51,8″W","3°4′5,3″S",-59.9143896399905,-3.06815154548624
"28",rua Kokama,"24",24,"4","4","0","0","4",0.000526093908305,292.949102985852392,"4","59°54′52,4″W","3°4′5,6″S",-59.9145648559952,-3.06821855794628
"29",rua Kokama,"26",26,"1","1","0","0","1",0.000061125080666,22.624219458643601,"1","59°54′52,4″W","3°4′5,6″S",-59.9145648559952,-3.06821855794628
"29",rua Kokama,"26",26,"2","2","0","0","2",0.000248718572293,112.556842303241865,"2","59°54′51,8″W","3°4′5,3″S",-59.9143896399905,-3.06815154548624
"29",rua Kokama,"26",26,"3","3","0","0","3",0.000303797712754,201.633160547957146,"3","59°54′51,7″W","3°4′5,5″S",-59.9143672753636,-3.06820187972089
"29",rua Kokama,"26",26,"4","4","0","0","4",0.000491312970256,291.700537703358862,"4","59°54′52,3″W","3°4′5,8″S",-59.914540167887,-3.0682744754999
"30",rua Kokama,"28",28,"1","1","0","0","1",0.000069030908707,21.385646529163719,"1","59°54′52,3″W","3°4′5,8″S",-59.914540167887,-3.0682744754999
"30",rua Kokama,"28",28,"2","2","0","0","2",0.000256385877321,110.842551818797062,"2","59°54′51,7″W","3°4′5,5″S",-59.9143674231529,-3.06820194177609
"30",rua Kokama,"28",28,"3","3","0","0","3",0.000321272135825,200.205670089173367,"3","59°54′51,6″W","3°4′5,7″S",-59.9143394501996,-3.06826048868403
"30",rua Kokama,"28",28,"4","4","0","0","4",0.000509781710232,290.748764799540083,"4","59°54′52,2″W","3°4′6,0″S",-59.9145115942246,-3.06833731507478
"31",rua Kokama,"32",32,"1","1","0","0","1",0.000064621762482,19.308222029000767,"1","59°54′52,1″W","3°4′6,2″S",-59.9144804600208,-3.06839580655012
"31",rua Kokama,"32",32,"2","2","0","0","2",0.000250418203150,110.303786763418714,"2","59°54′51,5″W","3°4′6,0″S",-59.9143108074321,-3.06832005487361
"31",rua Kokama,"32",32,"3","3","0","0","3",0.000314294859005,200.201368697566267,"3","59°54′51,4″W","3°4′6,2″S",-59.914283477839,-3.06837778978944
"31",rua Kokama,"32",32,"4","4","0","0","4",0.000497832107382,289.205803963148298,"4","59°54′52,0″W","3°4′6,4″S",-59.9144507989421,-3.06845321902782
"32",rua Kokama,"30",30,"1","1","0","0","1",0.000066261537350,18.961725248784024,"1","59°54′52,2″W","3°4′6,0″S",-59.9145115942246,-3.06833731507478
"32",rua Kokama,"30",30,"2","2","0","0","2",0.000254771111756,110.134173137737733,"2","59°54′51,6″W","3°4′5,7″S",-59.9143394501996,-3.06826048868403
"32",rua Kokama,"30",30,"3","3","0","0","3",0.000320866036493,200.128936341627934,"3","59°54′51,5″W","3°4′6,0″S",-59.9143108074321,-3.06832005487361
"32",rua Kokama,"30",30,"4","4","0","0","4",0.000506662477160,288.956488452674250,"4","59°54′52,1″W","3°4′6,2″S",-59.9144804600208,-3.06839580655012
"33",rua Kokama,"34",34,"1","1","0","0","1",0.000070904193195,19.011367449189660,"1","59°54′52,0″W","3°4′6,4″S",-59.9144507989421,-3.06845321902782
"33",rua Kokama,"34",34,"2","2","0","0","2",0.000254441441572,110.081059917439049,"2","59°54′51,4″W","3°4′6,2″S",-59.914283477839,-3.06837778978944
"33",rua Kokama,"34",34,"3","3","0","0","3",0.000323312150430,199.776410867238695,"3","59°54′51,3″W","3°4′6,4″S",-59.9142537503856,-3.06843991428583
"33",rua Kokama,"34",34,"4","4","0","0","4",0.000504168204193,288.706718398989267,"4","59°54′51,9″W","3°4′6,7″S",-59.914417827463,-3.06851599072668
"34",rua Kokama,"36",36,"1","1","0","0","1",0.000083214916550,18.660769393083552,"1","59°54′51,9″W","3°4′6,7″S",-59.914417827463,-3.06851599072668
"34",rua Kokama,"36",36,"2","2","0","0","2",0.000264070970313,109.545789963987730,"2","59°54′51,3″W","3°4′6,4″S",-59.9142537503856,-3.06843991428583
"34",rua Kokama,"36",36,"3","3","0","0","3",0.000343153744685,198.896486000392798,"3","59°54′51,2″W","3°4′6,6″S",-59.9142190418234,-3.06851097342256
"34",rua Kokama,"36",36,"4","4","0","0","4",0.000521403072365,288.011465429488624,"4","59°54′51,8″W","3°4′6,9″S",-59.914379013207,-3.06858959898618
"35",rua Kokama,"38",,"1","1","0","0","1",0.000071539387072,18.571016284410657,"1","59°54′51,8″W","3°4′6,9″S",-59.914379013207,-3.06858959898618
"35",rua Kokama,"38",,"2","2","0","0","2",0.000249890328579,109.124770448212630,"2","59°54′51,2″W","3°4′6,6″S",-59.9142189500709,-3.06851092973681
"35",rua Kokama,"38",,"3","3","0","0","3",0.000327026249347,200.030525847818410,"3","59°54′51,1″W","3°4′6,9″S",-59.9141856488408,-3.06858050687637
"35",rua Kokama,"38",,"4","4","0","0","4",0.000504024550798,289.476771684016455,"4","59°54′51,6″W","3°4′7,2″S",-59.9143468866433,-3.06865351899717
"36",rua Kokama,"42",42,"1","1","0","0","1",0.000089976632274,23.290181347767657,"1","59°54′51,5″W","3°4′7,4″S",-59.9143190178223,-3.06871915357301
"36",rua Kokama,"42",42,"2","2","0","0","2",0.000266423953360,112.609830332408464,"2","59°54′51,0″W","3°4′7,1″S",-59.9141555991702,-3.06865261034446
"36",rua Kokama,"42",42,"3","3","0","0","3",0.000357072155144,202.718821048543617,"3","59°54′50,8″W","3°4′7,5″S",-59.9141207277947,-3.06873628282298
"36",rua Kokama,"42",42,"4","4","0","0","4",0.000535663026456,293.399172063902768,"4","59°54′51,4″W","3°4′7,7″S",-59.9142863867609,-3.06880300468028
"37",rua Kokama,"44",,"1","1","0","0","1",0.000059002711922,23.445861721981650,"1","59°54′51,4″W","3°4′7,7″S",-59.9142863867609,-3.06880300468028
"37",rua Kokama,"44",,"2","2","0","0","2",0.000237593583234,112.746087808072929,"2","59°54′50,8″W","3°4′7,5″S",-59.9141207277947,-3.06873628282298
"37",rua Kokama,"44",,"3","3","0","0","3",0.000297786885317,202.935785534303562,"3","59°54′50,8″W","3°4′7,7″S",-59.9140976249804,-3.06879186603614
"37",rua Kokama,"44",,"4","4","0","0","4",0.000477836041969,293.635559448212291,"4","59°54′51,4″W","3°4′7,9″S",-59.9142650783913,-3.06885802534367
"38",rua Kokama,"46",46,"1","1","0","0","1",0.000072999383697,24.175044158620185,"1","59°54′51,4″W","3°4′7,9″S",-59.9142650783913,-3.06885802534367
"38",rua Kokama,"46",46,"2","2","0","0","2",0.000253048540349,112.980290105784022,"2","59°54′50,8″W","3°4′7,7″S",-59.9140976249804,-3.06879186603614
